query,before_retrieved_sources,after_retrieved_sources,changed
Какова температура на поверхности и в ядре Солнца?,"doc_01, doc_09","doc_01, doc_09",False
Почему на Меркурии такие большие перепады температуры?,doc_02,doc_02,False
Чем вызван парниковый эффект на Венере?,doc_03,doc_03,False
Какой процент поверхности Земли покрыт водой?,"doc_04, doc_08","doc_04, doc_08",False
Когда состоялась первая высадка людей на Луну?,doc_05,doc_05,False
Какой самый большой вулкан в Солнечной системе и где он находится?,"doc_06, doc_07","doc_06, doc_07",False
Сколько спутников у Юпитера и какие из них самые известные?,doc_07,doc_07,False
Из чего состоят кольца Сатурна?,"doc_08, doc_15","doc_08, doc_15",False
Почему Плутон больше не считается планетой?,"doc_13, doc_15","doc_13, doc_15",False
Какие аппараты Voyager изучали внешние планеты?,"doc_14, doc_01","doc_14, doc_01",False
"Есть ли жидкая вода на Европе, спутнике Юпитера?","doc_08, doc_07","doc_16, doc_08",True
Как происходит солнечное затмение?,"doc_03, doc_12","doc_17, doc_03",True
Какие озёра есть на Титане?,"doc_08, doc_10","doc_18, doc_08, doc_16",True
